serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,26496,7678740,171584,0
C,18,18,0,binomial,26560,7699099,172069,0
C,18,18,0,binomial,26624,7717750,172467,0
C,18,18,0,binomial,26688,7737137,172879,0
C,18,18,0,binomial,26752,7756372,173322,0
C,18,18,0,binomial,26816,7775204,173748,0
C,18,18,0,binomial,26880,7792514,174183,0
C,18,18,0,binomial,26944,7810044,174611,0
C,18,18,0,binomial,27008,7830530,175086,0
C,18,18,0,binomial,27072,7850059,175553,0
C,18,18,0,binomial,27136,7866949,175954,0
C,18,18,0,binomial,27200,7884707,176366,0
C,18,18,0,binomial,27264,7901330,176795,0
C,18,18,0,binomial,27328,7921148,177260,0
C,18,18,0,binomial,27392,7944417,177703,0
C,18,18,0,binomial,27456,7963725,178192,0
C,18,18,0,binomial,27520,7982721,178602,0
C,18,18,0,binomial,27584,7999592,179029,0
C,18,18,0,binomial,27648,8019480,179448,0
C,18,18,0,binomial,27712,8038587,179898,0
C,18,18,0,binomial,27776,8057629,180341,0
C,18,18,0,binomial,27840,8076857,180770,0
C,18,18,0,binomial,27904,8092640,181179,0
C,18,18,0,binomial,27968,8114188,181682,0
C,18,18,0,binomial,28032,8132639,182101,0
C,18,18,0,binomial,28096,8157868,182562,0
C,18,18,0,binomial,28160,8176413,183005,0
C,18,18,0,binomial,28224,8195429,183456,0
C,18,18,0,binomial,28288,8212819,183851,0
C,18,18,0,binomial,28352,8232681,184281,0
C,18,18,0,binomial,28416,8249820,184713,0
C,18,18,0,binomial,28480,8268985,185108,0
C,18,18,0,binomial,28544,8286876,185554,0
C,18,18,0,binomial,28608,8307261,186022,0
C,18,18,0,binomial,28672,8328441,186497,0
C,18,18,0,binomial,28736,8347280,186920,0
C,18,18,0,binomial,28800,8366055,187362,0
C,18,18,0,binomial,28864,8385130,187823,0
C,18,18,0,binomial,28928,8405669,188273,0
C,18,18,0,binomial,28992,8425825,188734,0
C,18,18,0,binomial,29056,8443523,189139,0
C,18,18,0,binomial,29120,8462969,189594,0
C,18,18,0,binomial,29184,8483127,190051,0
C,18,18,0,binomial,29248,8501882,190498,0
C,18,18,0,binomial,29312,8521598,190965,0
C,18,18,0,binomial,29376,8540328,191414,0
